***  
*   Special particles used to compose "quasi-particles" such as scalar states that are then built from K-matrix poles
*     
*
***
*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       999999919,   0, ,R,Xs7(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       999999929,   0, ,R,Xs7(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       999999939,   0, ,R,Xs7(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       999999949,   0, ,R,Xs7(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       999999959,   0, ,R,Xs7(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       999999969,   0, ,R,Xs7(PT)          ,cC
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       9999999919,   0, ,R,Xs8(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       9999999929,   0, ,R,Xs8(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       9999999939,   0, ,R,Xs8(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       9999999949,   0, ,R,Xs8(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       9999999959,   0, ,R,Xs8(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       9999999969,   0, ,R,Xs8(PT)          ,cC
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       99999999919,   0, ,R,Xs9(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       99999999929,   0, ,R,Xs9(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       99999999939,   0, ,R,Xs9(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       99999999949,   0, ,R,Xs9(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       99999999959,   0, ,R,Xs9(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       99999999969,   0, ,R,Xs9(PT)          ,cC
**
**
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       19991,   +, ,R,Z(S)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       19992,   +, ,R,Z(P)         ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       19993,   +, ,R,Z(V)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       19994,   +, ,R,Z(A)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       19995,   +, ,R,Z(T)          ,cC 
